ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	Απέκτησες το Τρόπαιο για %s!
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[Πύλη Εισβολής SungMa] Μια Πύλη Εισβολής SungMa θα ανοίξει \nσε %s λεπτά.
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN_1M	[Πύλη Εισβολής SungMa] Μια Πύλη Εισβολής SungMa θα ανοίξει \nσε λιγότερο από 1 λεπτό.
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Πρέπει πρώτα να ολοκληρώσεις το επίπεδο από κάτω.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Δεν μπορείς να μπεις όσο ιππεύεις.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Πρέπει να έχεις φτάσει σε ένα Επίπεδο πρωταθλητή για να μπεις.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	Χρειάζεσαι ένα Λάβαρο Κρανίου για να μπεις.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Δεν μπορείς να μπεις στον Πύργο Κόλασης Sung Mahi με ομάδα.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Δεν μπορείς να μπεις όσο είσαι μεταμορφωμένος.
SUNGMAHEE_TOWER_FLOOR_TEXT	Επίπεδο {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	Κατάταξη {0}
SYMBOLLIST_TITLE	Καταχώριση σημαίας Συντεχνίας
TARGET_BUTTON_ACCEPT_FIGHT	Συμφωνία
TARGET_BUTTON_AVENGE	Εκδίκηση
TARGET_BUTTON_BLOCK	Αποκλεισμός
TARGET_BUTTON_BLOCK_REMOVE	’ρση αποκλεισμού
TARGET_BUTTON_BUILDING_DESTROY	Καταστροφή
TARGET_BUTTON_DISMOUNT	Αφίππευση
TARGET_BUTTON_EMOTION_ALLOW	Συναισθήματα
TARGET_BUTTON_EXCHANGE	Ανταλλαγή
TARGET_BUTTON_EXCLUDE	Αποκλεισμός
TARGET_BUTTON_EXIT_OBSERVER	Τέλος Observer Mode
TARGET_BUTTON_FIGHT	Μονομαχία
TARGET_BUTTON_FRIEND	Φίλος
TARGET_BUTTON_INVITE_GUILD	Πρόσκληση Συντεχνίας
TARGET_BUTTON_INVITE_PARTY	Πρόσκληση Ομάδας
TARGET_BUTTON_LEAVE_PARTY	Εγκατάλειψη Ομάδας
TARGET_BUTTON_REQUEST_ENTER_PARTY	Μπες στην Ομάδα
TARGET_BUTTON_REVIVE	Ανάνηψη
TARGET_BUTTON_VIEW_EQUIPMENT	Πανοπλία
TARGET_BUTTON_WHISPER	Ψίθυρος
TARGET_LEVEL_BOSS	Αρχηγός
TARGET_LEVEL_KING	Επίπεδο 5.
TARGET_LEVEL_KNIGHT	Επίπεδο 3.
TARGET_LEVEL_PAWN	Επίπεδο 1.
TARGET_LEVEL_S_KNIGHT	Επίπεδο 4.
TARGET_LEVEL_S_PAWN	Επίπεδο 2.
TARGET_TOOLTIP_ATTACK_COUNT	Συνολικοί πόντοι: %d
TASKBAR_ATTACK	Επίθεση
TASKBAR_AUTO	Αυτόματη επίθεση
TASKBAR_CAMERA	Κάμερα
TASKBAR_EXP	Εμπειρία
TASKBAR_HP	HP
TASKBAR_MOVE	Κίνηση
TASKBAR_SKILL	Ικανότητα
TASKBAR_SP	SP
TASKBAR_ST	ST
TENTH_COIN	Επετειακά νομίσματα
TENTH_EVENT_ASK_EXCHANGE	Χρειάζεσαι ακόμη %d Επετειακές σημαίες Θέλεις να συνεχίσεις;
THING_COUNT	όλα
TIGER_COIN_ITEM_USE_QUESTION	Ανταλλάσσεις το κουπόνι σου με Νομίσματα Τίγρης. Θέλεις να συνεχίσεις;
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Μείωση ζημιάς	SNA
TOOLTIP_AFFECT_CHEONUN	Ασπίδα Αιθέρα	SNA
TOOLTIP_AFFECT_CONFUSION	Αναισθητοποιήθηκες
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Μείωση πιθανότητας κρίσιμου χτυπήματος	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Σύμβολο των Φυλάκων	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Η Υδροακτίνα δεν μπόρεσε να διακοπεί.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Μείωση άμυνας	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Αστραπή
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Μπόνους Είδος ζημιάς: %s
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Δύναμη σκότους
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Δύναμη γης
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Δύναμη αστραπών
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Δύναμη φωτιάς
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Δύναμη πάγου
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Καμία επίδραση
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Δύναμη ανέμου
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Μπόνους Χρυσού Τόννου	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Βρεγμένα ρούχα\nΤαχύτητα κίνησης -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Οι κανονικές επιθέσεις είναι κλειδωμένες.
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Οι ικανότητες είναι πλέον κλειδωμένες.
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Επίδραση Ανθών Εξουσίας
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Ζώα +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Σκότος +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Γη +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Αστραπές +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Φωτιά +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε Πάγο +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Επίδραση Ανθών Εξουσίας: Δύναμη ενάντια σε ’νεμο +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Επίδραση ’νθους Ορμής: Ταχύτητα κίνησης +%d	SA
TOOLTIP_AFFECT_GARRISON_BUFF	Ανοσία στην επιρροή του Sung Mahi	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Επιρροή του Sung Mahi	SNA
TOOLTIP_AFFECT_ICECREAM	Χωνάκι παγωτό\nΤαχύτητα κίνησης +10\nΖημιά +5%\nΕΜΠ +10%.	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Ψυχές (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Πολύτιμες ψυχές (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Πάσο λείας	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Αυξάνει τη μέγιστη Αντοχή κατά +%d	SA
TOOLTIP_AFFECT_MI_BUFF	Buff Κατάκτησης \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Πτώση από ζώο ιππασίας	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Ταχύτατη Θύελλα	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Ενισχύει την Επίδραση ιππασίας	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	ΕΜΠ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Βάδισμα Φτερού	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Ακρίβεια	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Αήττητος	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Δύναμη ενάντια σε Νίντζα
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Δύναμη ενάντια σε Σαμάνους
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Δύναμη ενάντια σε Sura
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Δύναμη ενάντια σε Πολεμιστές
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Δύναμη ενάντια σε Λυκανούς
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Καμία Ανάκρουση	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Γρήγορο Πέταλο	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Δύναμη ενάντια σε Ζώα
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Δύναμη ενάντια σε Ζωδιακά τέρατα
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Δύναμη ενάντια σε Τέρατα ερήμου
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Δυνατό ενάντια σε Διαβόλους
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Δύναμη ενάντια σε Ημιανθρώπους
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Δύναμη ενάντια σε Έντομα
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Δύναμη ενάντια σε Εσώτερους
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Δύναμη ενάντια σε όλα τα τέρατα
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Δύναμη ενάντια σε Απέθαντους
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Δύναμη ενάντια σε Ορκ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Θέληση SungMa (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Θέληση SungMa (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Θέληση SungMa (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Θέληση SungMa (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Ιππασία	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Οι μέγιστοι HP μειώθηκαν κατά %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Στην Κατάρα δεν μπορεί να σε βρει η Κατάρα του Ασμόδεου.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Η ζημιά που προκαλείται σε τέρατα είναι 30% μεγαλύτερες.	SNA
TOOLTIP_AFFECT_PASWAE	Μειώνει την ’μυνα και την Ταχύτητα Κίνησης για 5 δευτερόλεπτα.
TOOLTIP_AFFECT_POLYMORPH	Πολυμορφία	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Προσωπικό προνομιούχο κατάστημα	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Αύξηση χρόνου ηρεμίας	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Αντίσταση στη Ζημιά Ικανότητας +15% | Αντίσταση ενάντια στην κανονική Ζημιά επίθεσης +15%	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Ελιξήριο του Ερευνητή	SNA
TOOLTIP_AFFECT_RHP_REGEN	Δεν είναι δυνατή η ξεκούραση.	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Μπόνους αποθήκευσης\n +3% ΕΜΠ	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Μπόνους αποθήκευσης\n+20 άμυνα	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Μπόνους αποθήκευσης\n+1% HP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Μπόνους αποθήκευσης\n+3% δύναμη ενάντια σε τέρατα	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Αποκτάς ένα επιπλέον Κουτί θησαυρού αν ολοκληρώσεις επιτυχώς τον Ναό Φιδιών ή τη Λάκα Βορείου Ανέμου.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Αποκτάς ένα επιπλέον Κουτί θησαυρού αν νικήσεις τον Jotun Thrym ή ολοκληρώσεις τον Ζωδιακό Ναό.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Αποκτάς ένα επιπλέον Κουτί θησαυρού αν νικήσεις τον Αζραήλ ή τον Beran-Setaou.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Πρόοδος Ναού Αίνιγμα Μπόνους Α: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Πρόοδος Ναού Αίνιγμα Μπόνους Β: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Πρόοδος Ναού Αίνιγμα Μπόνους Γ: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Ιερό Μπόνους από Σετ	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Λαμπρό Μπόνους από Σετ	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ιπποτικό Μπόνους από Σετ	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Πριγκιπικό Μπόνους από Σετ	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Μεγαλειώδες Μπόνους από Σετ	SNA
TOOLTIP_AFFECT_SHACKLE	Δεσμά
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Κατάρα Sung Mahi (συμψηφισμένη %d φορές). Οι HP σου πέφτουν κατά 10%% κάθε 10 δευτερόλεπτα ανά σωρό. Μπορεί να συμψηφιστεί ως και 10 φορές.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Αυξάνει όλες τις αξίες SungMa κατά 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Αυτό το μέρος είναι γεμάτο από τη Θέληση του Sung Mahi.
TOOLTIP_AFFECT_SUNGMA_HP	Θέληση Sung Mahi (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Αυξάνει τη Θέληση SungMa (VIT) σου κατά +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Θέληση Sung Mahi (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Αυξάνει τη Θέληση SungMa (INT) σου κατά +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Θέληση Sung Mahi (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Αυξάνει τη Θέληση SungMa (RES) σου κατά +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Θέληση SungMa (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Θέληση Sung Mahi (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Αυξάνει τη Θέληση SungMa (STR) σου κατά +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Θέληση SungMa (STR)	SNA
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Καθημερινό μπόνους του event αρχηγού κόσμου\n Αξία Επίθεσης +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Θέση του event αρχηγού κόσμου\n Ρίψη αντικειμένων +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Σε περίπτωση χαμηλών πόντων κατάταξης αυξάνεται η ζημιά.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Αντίσταση σε κρίσιμα χτυπήματα +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Αντίσταση σε διατρητικά χτυπήματα +%d%%	SA
TOOLTIP_ANTI_SELL	Δεν μπορεί να πουληθεί σε κατάστημα.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Πιθανότητα απορρόφησης: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Δυνατό ενάντια σε Ζώα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Δυνατό ενάντια σε Νίντζα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Θραύση άμυνας καμπάνας +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Θραύση άμυνας βέλους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Θραύση άμυνας νυχιών +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Δύναμη ενάντια σε ζωδιακά τέρατα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Θραύση άμυνας στιλέτου +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Δύναμη ενάντια σε τέρατα ερήμου +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Δυνατό ενάντια σε Διάβολο +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Θραύση άμυνας βεντάλιας +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Δυνατό ενάντια σε Ημιανθρώπους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Δύναμη ενάντια σε έντομα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Δυνατό ενάντια σε Μυστικιστές +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Δυνατό ενάντια σε Τέρατα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Δυνατό ενάντια σε Ορκ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Δυνατό ενάντια σε Σαμάνους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Δυνατό ενάντια σε Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Θραύση άμυνας ξίφους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Θραύση άμυνας δίχειρου +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Δυνατό ενάντια σε Απέθαντους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Δυνατό ενάντια σε Πολεμιστές +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Δύναμη ενάντια σε Λυκανούς + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Επίθεση αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Αντίσταση σε επιθέσεις αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_BLOCK	Πιθανότητα απόκρουσης επίθεσης σώμα με σώμα %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Αναπληρώνει SP κάθε 5 δευτερόλεπτα σε μάχη %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Πιθανότητα Κρίσιμου Χτυπήματος +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% πιθανότητα να ανακτήσεις SP όταν σε χτυπήσουν	SA
TOOLTIP_APPLY_DODGE	%d%% πιθανότητα να αποφύγεις βέλη	SA
TOOLTIP_APPLY_ENCHANT_DARK	Δύναμη σκότους +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Δύναμη σκότους +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Δύναμη γης +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Δύναμη γης +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Δύναμη αστραπών +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Δύναμη αστραπών +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Δύναμη φωτιάς +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Δύναμη φωτιάς +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Δύναμη πάγου +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Δύναμη πάγου +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Δύναμη ανέμου +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Δύναμη ανέμου +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% πιθανότητα για μπόνους ΕΜΠ	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% πιθανότητα για διπλάσια Yang	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Ανοσία στην Αιμορραγία	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Ανοσία στην πτώση	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Ανοσία στο Δηλητήριο	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	’μυνα στην καθυστέρηση	SNA
TOOLTIP_APPLY_IMMUNE_STUN	’μυνα στη λιποθυμία	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% πιθανότητα για διπλάσια αντικείμενα	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% πιθανότητα ανάκτησης HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% πιθανότητα ανάκτησης SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Πιθανότητα κλοπής Μάνα	SA
TOOLTIP_APPLY_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Αντίσταση σε επιθέσεις τεράτων %d	SA
TOOLTIP_APPLY_NOAFFECT	Χωρίς αποτέλεσμα
TOOLTIP_APPLY_NO_DEATH_PENALTY	Δεν χάνονται βαθμοί εμπειρίας κατά την ανάσταση του χαρακτήρα στον τόπο θανάτου.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Ο Δράκος Θεός σε προστατεύει με τις φτερούγες του. Αν αναστηθείς εν πλω, δεν χάνεις πόντους εμπειρίας.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Πιθανό Χτύπημα Διάτρησης	SA
TOOLTIP_APPLY_POISON_PCT	Πιθανότητα Δηλητηρίασης %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Αντίσταση στο δηλητήριο %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Αύξηση επίδρασης φίλτρου %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	Πιθανότητα ανάκλασης κατάρας: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% πιθανότητα ανάκλασης χτυπήματος σώμα με σώμα	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Πιθανότητες άμυνας από επιθέσεις Νίντζα: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	’μυνα Καμπάνας %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	’μυνα νυχιών + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	’μυνα Στιλέτου %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	’μυνα Βεντάλιας%d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Αντίσταση σε Ημιανθρώπους %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Αντίσταση σε πτώση +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Πιθανότητες άμυνας από επιθέσεις σαμάνου: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Πιθανότητες άμυνας από επιθέσεις Sura: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	’μυνα Ξίφους %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	’μυνα Δύο Χεριών %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Πιθανότητες άμυνας από επιθέσεις πολεμιστή: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Αντίσταση Ανέμου %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Πιθανότητα άμυνας ενάντια σε Λυκανούς + %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Η πιθανότητα να μάθεις από τα βιβλία, αναβαθμίστηκε κατά παράγοντα 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Αν αποτύχει η εκμάθηση, έχεις άλλη μια προσπάθεια.	SNA
TOOLTIP_APPLY_SLOW_PCT	%d%% πιθανότητα επιβράδυνσης	SA
TOOLTIP_APPLY_STEAL_HP	%d%% ζημιά θα απορροφηθεί από HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% ζημιά απορροφάται από SP.	SA
TOOLTIP_APPLY_STUN_PCT	%d%% πιθανότητα λιποθυμίας	SA
TOOLTIP_ARMOR	Πανοπλία
TOOLTIP_ARROW	Βέλος
TOOLTIP_ASSASSIN	Νίντζα
TOOLTIP_ATTBONUS_PER_ANIMAL	Δύναμη ενάντια σε Ζώα (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_CZ	Δύναμη ενάντια σε ζωδιακά τέρατα (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Δύναμη ενάντια σε τέρατα ερήμου (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Δύναμη ενάντια σε Διαβόλους (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Δύναμη ενάντια σε Ημιανθρώπους (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Δύναμη ενάντια σε έντομα (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Δύναμη ενάντια σε Εσώτερους (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Δύναμη ενάντια σε Τέρατα (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_ORC	Δύναμη ενάντια σε Ορκ (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_STONE	Δύναμη ενάντια σε λίθους Metin (+%d%% της συνολικής αξίας)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Δυνατό ενάντια σε Απέθαντους (+%d%% της συνολικής αξίας)	SA
