ACCE_ABSORB_COST	Coûts de combi : %d
TARGET_BUTTON_REVIVE	Ressusciter
TARGET_BUTTON_VIEW_EQUIPMENT	Armure
TARGET_BUTTON_WHISPER	PM
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Niveau 5.
TARGET_LEVEL_KNIGHT	Niveau 3.
TARGET_LEVEL_PAWN	Niveau 1.
TARGET_LEVEL_S_KNIGHT	Niveau 4.
TARGET_LEVEL_S_PAWN	Niveau 2.
TARGET_TOOLTIP_ATTACK_COUNT	Total des points : %d
TASKBAR_ATTACK	Attaque
TASKBAR_AUTO	Attaquer automatiquement
TASKBAR_CAMERA	Caméra
TASKBAR_EXP	Expérience
TASKBAR_HP	PV
TASKBAR_MOVE	Déplacement
TASKBAR_SKILL	Compétence
TASKBAR_SP	PM
TASKBAR_ST	PE
TENTH_COIN	Pièce(s) d'anniversaire
TENTH_EVENT_ASK_EXCHANGE	Vous avez besoin de %d fanions d'anniversaire. Voulez-vous continuer ?
THING_COUNT	Tous
TIGER_COIN_ITEM_USE_QUESTION	Vous échangez votre bon contre de la monnaie du tigre. Voulez-vous continuer ?
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Réduire les dégâts	SNA
TOOLTIP_AFFECT_CHEONUN	Bouclier éthéré	SNA
TOOLTIP_AFFECT_CONFUSION	Vous avez été étourdi.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Réduire la chance de coup critique	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Signum des gardiens	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	L'interruption de l'hydrojet a échoué.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Réduire la défense	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Foudre
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Type de dégâts bonus : %s
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Pouvoir de l'obscurité
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Pouvoir de la terre
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Pouvoir de la foudre
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Pouvoir du feu
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Pouvoir de la glace
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Aucun effet
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Pouvoir du vent
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Bonus thon doré	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vêtements mouillés\nVitesse de déplacement -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Les attaques normales sont bloquées.
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Les compétences sont bloquées.
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Effet de fleur puissante
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Effet de fleur puissante : force contre les animaux + %d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Effet de fleur puissante : force contre l'obscurité +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Effet de fleur puissante : force contre la terre +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Effet de fleur puissante : force contre la foudre +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Effet de fleur puissante : force contre le feu +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Effet de fleur puissante : force contre la glace +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Effet de fleur puissante : force contre le vent +%d %%	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Effet de fleur puissante orageuse : Vitesse de déplacement +%d	SA
TOOLTIP_AFFECT_GARRISON_BUFF	Immunité contre l'influence de Sung Mahi	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Influence de Sung Mahi	SNA
TOOLTIP_AFFECT_ICECREAM	Cornet de glace\n+10 à la vitesse de déplacement,\n+5 % de dégâts\n+10 % d'EXP.	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Âmes (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Âmes précieuses (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Pass butin	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Augmente l'endurance maximale de %d.	SA
TOOLTIP_AFFECT_MI_BUFF	Bonus d'occupation : \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Chute de monture	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Forte tempête	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Renforce l'effet du chevauchement	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Foulée de plume	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Précision	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Invincibilité	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Force contre les Ninjas
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Force contre les Chamanes
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Force contre les Suras
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Force contre les Guerriers
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Force contre les Lycans
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Sans recul	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Sabots vifs	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Force contre les animaux
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Force contre les monstres du zodiaque
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Force contre les monstres du désert
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Force contre le mal
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Force contre les demi-humains
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Fort contre les insectes
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Force contre les mystiques
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Force contre tous les monstres
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Force contre les morts-vivants
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Force contre les orcs
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Volonté de SungMa (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Volonté de SungMa (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Volonté de SungMa (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Volonté de SungMa (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Monter à cheval	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Les PV maximums d'Asmodeus ont diminué de %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	La malédiction d'Asmodeus dans la Damnation ne vous affecte pas.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Les dégâts infligés aux monstres sont diminués de 30 %.	SNA
TOOLTIP_AFFECT_PASWAE	Réduisez pendant 5 secondes la défense et la vitesse de déplacement.
TOOLTIP_AFFECT_POLYMORPH	Polymorphie	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Magasin premium privé	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Augmenter le temps de rechargement	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Résistance contre les dégâts de compétences +15 % | Résistance aux dégâts d'attaque normaux +15 %	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Élixir du chercheur	SNA
TOOLTIP_AFFECT_RHP_REGEN	Régénération impossible	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bonus de stockage\n EXP : +3 %	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bonus de stockage\n Défense : +20	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bonus de stockage\n Points de vie : +1 %	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bonus de stockage\n Force contre les monstres : +3 %	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Vous recevez une caisse au trésor supplémentaire si vous terminez le temple du Serpent ou l'abysse d'Aquilon.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Vous recevez une caisse au trésor supplémentaire si vous éliminez Jotun Thrym ou terminez l'Abysse d'Aquilon.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Vous recevez une caisse au trésor supplémentaire si vous éliminez Azraël ou Beran-Setaou.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Avancement du bonus A, Temple Énigma : %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Avancement du bonus B, Temple Énigma : %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Avancement du bonus C, Temple Énigma : %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Bonus de lot sacré	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Bonus de lot grandiose	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Bonus de lot valeureux	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Bonus de lot princier	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Bonus de lot majestueux	SNA
TOOLTIP_AFFECT_SHACKLE	Lien
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Malédiction de Sung Mahi (cumulée %d fois). Vos PV baissent par cumul et toutes les 10 secondes de 10 %%. Il peut être cumulé jusqu'à 10 fois.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Toutes vos valeurs de SungMa augmentent de 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	La volonté de Sung Mahi emplit ce lieu.
TOOLTIP_AFFECT_SUNGMA_HP	Volonté de SungMa (VIT) : %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Votre volonté de SungMa (VIT) augmente de +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Volonté de SungMa (INT) : %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Votre volonté de SungMa (INT) augmente de +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Volonté de SungMa (RES) : %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Votre volonté de SungMa (RES) augmente de +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 de volonté de SungMa (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Volonté de SungMa (STR) : %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Votre volonté de SungMa (STR) augmente de +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 de volonté de SungMa (STR)	SNA
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Bonus de quête journalière de l'évènement du boss mondial\n Valeur d'attaque +%d %%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Bonus de rang de l'évènement du boss mondial\n Butin d'objets +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Avec un nombre de points de grade plus faible, les dégâts infligés sont augmentés.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Résistance contre les coups critiques +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Résistance contre les coups perçants +%d%%	SA
TOOLTIP_ANTI_SELL	Ne peut pas être vendu dans un magasin.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Taux d'absorption : %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Bonus contre les Animaux +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Bonus contre les Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Rupture de la défense contre le gong +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Rupture de la défense contre les flèches +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Rupture de la défense contre les griffes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Fort contre les monstres du zodiaque +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Rupture de la défense contre la dague +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Fort contre les monstres du désert +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Bonus contre le Mal+%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Rupture de la défense contre l'éventail +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Bonus contre les demi-humains +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Fort contre les insectes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Bonus contre les Mystiques +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Force contre les Monstres +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Bonus contre les Orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Bonus contre les chamanes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Bonus contre les Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Rupture de la défense contre l'épée +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Rupture de la défense contre l'épée à deux mains +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Bonus contre les Mort-vivants +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Bonus contre les Guerriers +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Force contre les Lycans + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attaque saignante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Résistance contre les attaques saignantes + %d%%	SA
TOOLTIP_APPLY_BLOCK	Chance de bloquer un coup au Corps-à-corps %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recupérer les PM toutes les 5 secondes dans une Bataille %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance de coup critique +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% de chance de récupérer des PM lorsque vous touchez	SA
TOOLTIP_APPLY_DODGE	Chance d'éviter les flèches %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Pouvoir des ténèbres +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Pouvoir des ténèbres +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_EARTH	Pouvoir de la terre +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Pouvoir de la terre +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_ELECT	Pouvoir de la foudre +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Pouvoir de la foudre +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_FIRE	Pouvoir du feu +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Pouvoir du feu +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_ICE	Pouvoir de la glace +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Pouvoir de la glace +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_WIND	Pouvoir du vent +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Pouvoir du vent +%d %% ~ +%d %%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance d'obtenir un Bonus EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% chance d'abandonner le double de Yangs	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immunité contre le saignement	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immunise contre les chutes	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immunité contre le poison	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Défense contre le ralentissement	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Défense contre l'étourdissement	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance d'abandonner le double d'objets	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% de chance de restaurer les PV	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%%  de chance de restaurer les PM	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% de chance de drain de PM	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Résistance contre les attaques des monstres %d	SA
TOOLTIP_APPLY_NOAFFECT	Pas d'effet
TOOLTIP_APPLY_NO_DEATH_PENALTY	Pas de perte d'expérience en cas de résurrection à l'endroit de la mort.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Le dieu dragon étend ses ailes protectrices sur vous. Vous ne perdez pas de points d'expérience en cas de résurrection à bord.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% chances de coup perçant	SA
TOOLTIP_APPLY_POISON_PCT	Chance d'empoisonner : %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Résistance contre le poison %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Les effets de la potion %d%% augmentent	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance de renvoyer une Malédiction : %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Chance de renvoyer une attaque au Corps-à-corps : %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Chance de parer une attaque Ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Défense contre le Gong %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Défense contre les griffes +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Défense contre la dague %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Défense contre l'éventail %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Fort contre les demi-humains %d %%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Résistance à la chute +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Chance de parer une attaque Chamane: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Chance de parer une attaque Sura: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Défense contre l'épée %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Défense contre l'épée à deux-mains %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Chance de parer une attaque Guerrier: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Résistance au Vent %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Chance de parer les Lycans %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance d'apprendre d'un Manuel améliorée d'un facteur de 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Si l'apprentissage échoue, vous pourrez immédiatement et gratuitement retenter votre chance.	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance de ralentissement : %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% des dommages infligés sont drainés et ajoutés aux PV.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% des dommages infligés sont drainés et ajoutés aux PM.	SA
TOOLTIP_APPLY_STUN_PCT	Chance d'étourdir : %d %%	SA
TOOLTIP_ARMOR	Armure
TOOLTIP_ARROW	Flèches
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Force contre les animaux (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_CZ	Force contre les monstres du zodiaque (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Force contre les monstres du désert (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Force contre le mal (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Force contre les demi-humains (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Force contre les insectes (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Force contre les mystiques (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Force contre les monstres (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_ORC	Force contre les orcs (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_STONE	Force contre les pierres Metin (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Force contre les mort-vivants (+%d %% de la valeur totale)	SA
TOOLTIP_ATTBONUS_STONE	+%d %% de force contre les pierres Metin	SA
TOOLTIP_ATT_GRADE	Valeur d'attaque +%d	SA
TOOLTIP_ATT_SPEED	Vitesse d'attaque +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Vitesse d'attaque réduite	SNA
TOOLTIP_AUTO_PICKUP	Vous avez %d %% de chances de réunir automatiquement des objets à proximité pendant 30 secondes.	SA
TOOLTIP_AUTO_POTION_HP	Élixir du soleil
TOOLTIP_AUTO_POTION_REST	Quantité restante : %.2f%%
TOOLTIP_AUTO_POTION_SP	Élixir de la lune
TOOLTIP_AUTO_POTION_USING	Actif
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Chasse automatique	SNA
TOOLTIP_BATTLE_POTION	Potion de bataille de la Zone de combat	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Endurance infinie	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Vitesse de déplacement augmentée	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Vitesse de déplacement réduite	SNA
TOOLTIP_BOW_DISTANCE	Portée +%dm	SA
TOOLTIP_BUYPRICE	Prix : %s
TOOLTIP_CAST_SPEED	Vitesse du sort +%d%%	SA
TOOLTIP_CON	Vitalité +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume %d%%	SA
TOOLTIP_CURSE_OF_ELEMENTAL	Sort élémentaire (cumulé %d fois). Vos PV diminuent en continu. Il peut être cumulé jusqu'à 10 fois.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Vous absorbez %d %% de dégâts en PV	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Vous absorbez %d %% de dégâts en PM	SA
TOOLTIP_DEF_GRADE	Défense +%d	SA
TOOLTIP_DEX	Dextérité +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Lorsque vous descendez de votre monture, la vitesse de déplacement augmente de %d%% toutes les 10 secondes.	SA
TOOLTIP_DRAGON_SOUL_DECK1	Ciel	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Terre	SNA
TOOLTIP_DS_SET	Effet de lot DSS	SNA
TOOLTIP_DURATION	Durée
TOOLTIP_EAR	Boucles d'oreille
TOOLTIP_ENCHANT_PER_DARK	Pouvoir des ténèbres (+%d %% de la valeur totale)	SA
TOOLTIP_ENCHANT_PER_EARTH	Pouvoir de la terre (+%d %% de la valeur totale)	SA
TOOLTIP_ENCHANT_PER_ELECT	Pouvoir de la foudre (+%d %% de la valeur totale)	SA
TOOLTIP_ENCHANT_PER_FIRE	Pouvoir du feu (+%d %% de la valeur totale)	SA
TOOLTIP_ENCHANT_PER_ICE	Pouvoir de la glace (+%d %% de la valeur totale)	SA
TOOLTIP_ENCHANT_PER_WIND	Pouvoir du vent (+%d %% de la valeur totale)	SA
TOOLTIP_ENERGY	Énergie %d	SA
TOOLTIP_ETC	Etc..
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5e bonus ajouté +%d %%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1er bonus ajouté +%d %%	SA
TOOLTIP_FISHINGROD_EXP	Points %d / %d
TOOLTIP_FISHINGROD_LEVEL	Niveau : %d
TOOLTIP_FISHINGROD_UPGRADE1	Donnez-la au pêcheur
TOOLTIP_FISHINGROD_UPGRADE2	pour obtenir une
TOOLTIP_FISHINGROD_UPGRADE3	canne à pêche améliorée
TOOLTIP_FISH_LEN	Longueur : %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Graines de fleurs
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4e bonus ajouté +%d %%	SA
TOOLTIP_GLOVE	Gants
TOOLTIP_GUILD_SKILL_ACCEL	Accélération +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Bénédiction du Dieu Dragon +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sang du Dieu Dragon +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Colère du Dieu Dragon +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Aide à la magie +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armure sacrée+%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20 % d'EXP | +5 % de butin d'objets | +10 % de force contre les monstres	SNA
TOOLTIP_HELMET	Casque
TOOLTIP_HIT_AUTO_HP_RECOVERY	Pendant le combat, vous bénéficiez de l'effet de l'élixir du soleil.	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Pendant le combat, vous bénéficiez de l'effet de l'élixir de la lune.	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Recevez pouvoir des ténèbres pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Recevez pouvoir de la terre pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Recevez pouvoir de la foudre pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Recevez pouvoir du feu pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Recevez pouvoir de la glace pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Recevez pouvoir du vent pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Recevez résistance à l'obscurité pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Recevez résistance à la terre pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Recevez résistance à la foudre pendant %d secondes en combat	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Recevez résistance au feu pendant %d secondes en combat	SA
