ACCE_ABSORB_COST	Kombinálás ára: %d
LOGIN_FAILURE_TNT_SESSION	A klienst nem sikerült megnyitni. Kérjük, nyisd meg újra a játék-indítót, és jelentkezz be!
LOGIN_FAILURE_TOO_MANY_USER	Nem csatlakozhatsz, mert túl sokan játszanak.
LOGIN_FAILURE_UNKNOWN	Ismeretlen okból nem tudsz bejelentkezni.
LOGIN_FAILURE_WEB_BLOCK	Le lettél tiltva a web oldalon. Ellenõrizd leveleidet.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Rossz számot adtál meg.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Háromszor adtál meg helytelen számot. A kapcsolat lezáródik.
LOGIN_FAILURE_WRONG_PASSWORD	Hibás Felhasználónév vagy Jelszó.
LOGIN_INPUT_ID	Add meg az ID-t.
LOGIN_INPUT_PASSWORD	Add meg a jelszót.
LOGIN_PROCESSING	Bejelentkezés folyamatban...
LOOTING_SYSTEM_CANNOT_OPEN_MAP	Ezt nem nyithatod meg itt.
LOOTING_TICKET_DURATION	Hátralévõ idõ: %s
LUCKY_BOX_DIALOG_RECV_TEXT	Szeretnéd elfogadni a tárgyat?
LUCKY_BOX_DIALOG_RETRY_TEXT	Szeretnél újra szerencsét próbálni?
MAILBOX_FAIL_USE_TIME_LIMIT	A Postaláda tartalma épp frissül. Kérjük, próbáld újra késõbb.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Nincs üzeneted
MAILBOX_POST_ALL_DELETE_QUESTION1	Összes üzenet törlése?
MAILBOX_POST_ALL_DELETE_QUESTION2	A küldeménnyel rendelkezõ üzenetek nem lesznek törölve.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nincs küldeménnyel rendelkezõ üzenet a postaládádban.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Küldemény átvétele? (5% adó levonásra kerül a Yangból)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Az üzenet nem törölhetõ. Kérlek, elõbb fogadd el a küldeményt.
MAILBOX_POST_DELETE_QUESTION	Biztosan törölni szeretnéd ezt az üzenetet?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Nem tudod átvenni a tárgyakat. Megtelt a leltárad.
MAILBOX_POST_GET_ITEMS_QUESTION	Küldemény átvétele? (5% adó levonásra kerül a Yangból)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nem lehet nálad több Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nem lehet nálad több Yang.
MAILBOX_POST_GM_ARRIVE	GM Üzenet
MAILBOX_POST_NOT_CONFIRM_INFO_1	Olvasatlan üzenetek: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Küldemény nélkül: %d / Küldeménnyel: %d
MAILBOX_POST_READ_BLOCK	Biztosan blokkolni szeretnéd %s-t?
MAILBOX_POST_WRITE_ALREADY_ITEM	Üzenetenként csak egy tárgyat küldhetsz.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Válaszd szét a halomba rakott tárgyakat a leltáradban, mielõtt az üzenetedhez csatolnád.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Ismeretlen címzett. Az üzenet nem küldhetõ el.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	A címzett postaládája tele van. Az üzenet nem küldhetõ el.
MAILBOX_POST_WRITE_LEVEL_LIMIT	20-as szinttõl kezdve küldhetsz üzeneteket.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Nincs elég Yangod az üzenet elküldéséhez.
MAILBOX_POST_WRITE_NAME_CHECK	Erõsítsd meg a címzettet a Címzett ellenõrzése gombra kattintva.
MAILBOX_POST_WRITE_NAME_EMPTY	Add meg a címzettet.
MAILBOX_POST_WRITE_OK	Az üzenet sikeresen elküldve.
MAILBOX_POST_WRITE_QUESTION1	Szeretnéd elküldeni az üzenetet %s részére?
MAILBOX_POST_WRITE_QUESTION2	Kézbesítési díj: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Adj meg egy címzettet.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Írd be a tárgyat.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Vagyon
MAILBOX_POST_WRITE_WRONG_ITEM	Nem küldhetsz el lélekhez csatolt tárgyakat.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Az üzenet nem megengedett szavakat tartalmaz.
MAILBOX_POST_WRITE_WRONG_TITLE	A tárgy nem megengedett szavakat tartalmaz.
MALL_CANNOT_INSERT	Nem tudod elhelyezni a tárgyat.
MALL_PASSWORD_TITLE	Jelszó
MAP_A1	Yongan-terület
MAP_A2	Seungryong-völgy
MAP_A2_1	
MAP_A3	Yayang Terület
MAP_AG	Jungrang
MAP_B1	Joan-terület
MAP_B2	Imji Völgy
MAP_B3	Bokjung-terület
MAP_BATTLE_FIELD	Harci övezet
MAP_BATTLE_ROYALE	Battle Royale
MAP_BAY	Nefrit-öböl
MAP_BAYBLACKSAND	Nefrit-öböl
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	MV: Az Elvarázsolt erdõ
MAP_BOSS_AWAKEN_FLAME	MV: Vörös sárkány-erõd
MAP_BOSS_AWAKEN_SKIPIA	MV: A Számûzött barlangja
MAP_BOSS_AWAKEN_SNOW	MV: Nemere õrtornya
MAP_BOSS_CRACK_DAWNMIST	IH: Az Elvarázsolt erdõ
MAP_BOSS_CRACK_FLAME	IH: Vörös sárkány-erõd
MAP_BOSS_CRACK_SKIPIA	IH: A Számûzött barlangja
MAP_BOSS_CRACK_SNOW	IH: Nemere õrtornya
MAP_BOSS_LABYRINTH	Illúziók fennsíkja
MAP_C1	Pyungmoo-terület
MAP_C2	Bangsan Völgy
MAP_C3	Bakra-terület
MAP_CAPE	Sárkánytûz-fok
MAP_CAPEDRAGONHEAD	Sárkánytûz-fok
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodiákus templom
MAP_DAWN	Gautama-szikla
MAP_DAWNMISTWOOD	Gautama-szikla
MAP_DAWNMIST_DUNGEON_01	Elvarázsolt erdõ
MAP_DEFENSE_WAVE	Hajó megvédése
MAP_DEFENSE_WAVE_PORT	Kikötõ
MAP_DESERT	Yongbi sivatag
MAP_DEVILCATACOMB	Az Ördög Katakombája
MAP_DEVILTOWER1	Démon-torony
MAP_DUEL	Gyakorlóharc aréna
MAP_E	Kolónia
MAP_EASTPLAIN_01	Dong Gwang síkság
MAP_EASTPLAIN_02	Seo Gwang pusztaság
MAP_EASTPLAIN_03	Nam Gwang szakadék
MAP_ELEMENTAL_DUNGEON	Elementálok birodalma
MAP_ELEMENTAL_DUNGEON_DARK	Elementálok birodalma (sötétség)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Elementálok birodalma (villám)
MAP_ELEMENTAL_DUNGEON_FIRE	Elementálok birodalma (tûz)
MAP_EMPIRECASTLE	Elhagyatott erõd
MAP_EMPIREWAR01	Kastélyharc
MAP_EMPIREWAR02	Kastélyharc
MAP_EMPIREWAR03	Kastélyharc
MAP_FARMING_DUNGEON	Titokzatos kazamata
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Sárkánykirály palotája
MAP_HOLYPLACE_DESERT	Sivatagi terület, birodalmi csata
MAP_HOLYPLACE_FLAME	Tûzföld, birodalmi csata
MAP_HOLYPLACE_ICE	Jégföld, birodalmi csata
MAP_ICE_CRYSTALS_CAVE	Északszél kanyon
MAP_MAZE_DUNGEON_01	Gnoll barlang 1. szint
MAP_MAZE_DUNGEON_02	Gnoll barlang 2. szint
MAP_MAZE_DUNGEON_03	Gnoll barlang 3. szint
MAP_MILGYO	Hwang templom
MAP_MILGYO_A	
MAP_MINIBOSS_01	Kék kazamata – 40-80. szint
MAP_MINIBOSS_02	Vörös kazamata – 81. szinttõl
MAP_MISTS_OF_ISLAND	Köd szigete
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Mennydörgés-hegység
MAP_MT_TH_DUNGEON_01	Az Ochao temploma
MAP_NUSLUCK	Óriások Földje
MAP_NUSLUCK01	Óriások földje
MAP_N_DESERT_01	Yongbi sivatag
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tûzföld
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley barlangja
MAP_N_FLAME_DUNGEON_01	Vörös sárkány-erõd
MAP_N_SNOWM_01	Sohan-hegy
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere õrtornya
MAP_N_THREEWAY	Seungryong-völgy
MAP_OTHER_WORLD_01	Megváltás
MAP_OTHER_WORLD_02	Túlvilág
MAP_OTHER_WORLD_03	Próbatételek terme
MAP_OTHER_WORLD_04	Kárhozat
MAP_OXEVENT	OX-verseny
MAP_PATHWAY_DESERT_01	Sivatagi terület, birodalmi csata
MAP_PATHWAY_DESERT_02	Sivatagi terület, birodalmi csata
MAP_PATHWAY_DESERT_03	Sivatagi terület, birodalmi csata
MAP_PATHWAY_FLAME_01	Tûzföld, birodalmi csata
MAP_PATHWAY_FLAME_02	Tûzföld, birodalmi csata
MAP_PATHWAY_FLAME_03	Tûzföld, birodalmi csata
MAP_PATHWAY_ICE_01	Jégföld, birodalmi csata
MAP_PATHWAY_ICE_02	Játéktér
MAP_PATHWAY_ICE_03	Jégföld, birodalmi csata
MAP_PRIVATE_SHOP_MAP	Bazár
MAP_SECRET_DUNGEON	Enigma templom
MAP_SKELTOWER	Gumsan torony
MAP_SKIPIA_DUNGEON_01	A Számûzött barlangja
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	A Számûzött barlangja 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	A Sárkány Temploma
MAP_SKIPIA_DUNGEON_BOSS_1	Pók kazamata 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pók kazamata 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pók kazamata 3
MAP_SNAKE_TEMPLE_1	Szerpent templom 1. szintje
MAP_SNAKE_TEMPLE_2	Szerpent templom
MAP_SNAKE_VALLEY	Yilad hágó
MAP_SNOW	Sohan-hegy
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pók kazamata 1
MAP_SPIDERDUNGEON_02	Pók kazamata 2
MAP_SPIDERDUNGEON_02_1	Pók kazamata 2
MAP_SPIDERDUNGEON_03	Pók kazamata 3
MAP_SUNGMAHEE_GATE_A1	Yongan terület (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_B1	Joan terület (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_C1	Pyungmoo terület (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_DAWNMIST	Elvarázsolt erdõ (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_DESERT	Yongbi-sivatag (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_DEVILS	Az Ördög katakombája (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_FLAME	Doyyumhwan (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_SNOW	Sohan-hegység (Sung Ma invázió)
MAP_SUNGMAHEE_GATE_THREEWAY	Seungryong-völgy (Sung Ma invázió)
MAP_SUNGMAHEE_TOWER_DUNGEON	Sung Mahi tornya
MAP_SUNGMAHEE_TOWER_WAIT	Elõcsarnok
MAP_SUNGZI	Birodalmi csata
MAP_SUNGZI_DESERT_01	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_01	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_02	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_03	Sivatagi terület, birodalmi csata
MAP_SUNGZI_FLAME_HILL_01	Tûzföld, birodalmi csata
MAP_SUNGZI_FLAME_HILL_02	Tûzföld, birodalmi csata
MAP_SUNGZI_FLAME_HILL_03	Tûzföld, birodalmi csata
MAP_SUNGZI_SNOW	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS01	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS02	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS03	Jégföld, birodalmi csata
MAP_T1	Céhháború terület
MAP_T2	Céhháború terület
MAP_T3	Céhháború terület
MAP_T4	Céhháború terület
MAP_TEMPLE	Hwang templom
MAP_THUNDER	Mennydörgés-hegység
MAP_TREE	Lungsam
MAP_TRENT	Szellem-erdõ
MAP_TRENT02	Vörös Erdõ
MAP_TRENT02_A	Vörös Erdõ
MAP_TRENT_A	
MAP_WEDDING_01	Esküvõi terület
MAP_WHITE_DRAGON_CAVE_01	Északszél búvóhely
MAP_WHITE_DRAGON_CAVE_02	Északszél lejárat
MAP_WHITE_DRAGON_CAVE_BOSS	Északszél mélység
MAP_WHITE_DRAGON_VALLEY	Lélek szurdok
MAP_WL	Kígyórét
MAP_WL_01	Kígyórét
MC_ACCUMULATION_COUNT	Begyûjtött Szörnykártyák: %d
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Teljesítetted a követelményeket a(z) %s eredményhez (%d csillag)
MC_ACHIEV_REGIST_FAIL	Nem válthatsz be most eredményeket.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	Nem válthatod be az eredményt. Zárd be az ablakot, és próbáld újra.
MC_ACHIEV_REGIST_QUESTION_1	Szeretnéd beváltani a(z) %s eredményt? Ehhez %d kártyára van szükséged a megfelelõ szörnyektõl.
MC_ACHIEV_REGIST_QUESTION_2	A választásod nem visszavonható. Biztosan folytatod?
MC_ACHIEV_SHOW_APPLYS	Státusz mutatása
MC_ACHIEV_SHOW_MONSTER	Kép mutatása
MC_ALTER_TEXT	Megbízás-szint: %d
MC_CARD_FALL_SHORT	Kevés a regisztrált kártya.
MC_CARD_SHUFFLE	Szeretnéd megkeverni a kártyákat?
MC_INIT_ITEM_FALL_SHORT	%d Visszaállító jegyre van szükséged.
MC_MISSION_FAIL_MSG	Nincs aktív megbízás vagy meghaladott korlát.
MC_MISSION_INIT	Vissza akarod állítani a megbízást 1-es szintre?
MC_MISSION_NO_CLEAR	Elõbb teljesítened kell a megbízást.
MC_MOTION_BUTTON_OVER_MSG	Ez a lehetõség csak 2 csillagnál nyílik meg.
MC_POLY_BUTTON_OVER_MSG	Ez a lehetõség csak 3 csillagnál nyílik meg.
MC_POLY_FAIL	Jelenleg nem tudsz átalakulni.
MC_POLY_QUESTION	Szeretnél átalakulni ezzé a szörnnyé?
MC_PROMOTION_MAX	Nem léptethetõ elõ tovább.
MC_PROMOTION_QUESTION	Szeretnéd emelni a szintet?
MC_QUESTION_BUTTON_DESC1	Csak 6 alkalommal lehet visszaállítani 24 órán belül.
MC_QUESTION_BUTTON_DESC2	Minden egymást követõ visszaállításhoz egyre több Visszaállító jegy kell.
MC_QUESTION_BUTTON_DESC3	Kattints ide a fennmaradó újratöltési idõ kijelzéséhez.
MC_REWARD_FAIL	Nincs elég hely a leltáradban.
MC_REWARD_MISSION	Be szeretnéd gyûjteni a Szörnykártyád most?
MC_SHUFFLE_NO_ITEM	Nincs Újrakeverõ jegyed.
MC_TIME	Újratöltés: %s
MC_TRADE_QUESTION	%d kártya le lesz vonva. Szeretnéd folytatni?
MC_USE_ITEM_FAIL	Ez a kártya nem adható hozzá.
MC_USE_ITEM_QUESTION	Szeretnéd hozzáadni ezt a Szörnykártyát?
MC_WARP_BUTTON_OVER_MSG	Ez a lehetõség csak 4 csillagnál nyílik meg.
MC_WARP_FAIL	Többé nem teleportálhatsz.
MC_WARP_LIMIT_LEVEL	Jelenlegi szinted nem elég magas a teleportáláshoz.
MC_WARP_QUESTION	El akarsz teleportálni e szörny területére?
MD_POPUP_MSG_1	Csak a Zodiákus templomból tudsz belépni.
MD_POPUP_MSG_2	A Zodiákus õrzõknek újra kell szervezõdniük.\nAdj nekik egy kis idõt.
MD_SYSTEM_MSG_1	Nem vagy zombi. Nem harcolhatsz, ha halott vagy.
MEDAL_OF_HONOR	Bátorság medálja
MEDAL_OF_HONOR_SYSTEM_PICK	Kapott tárgy: Bátorság medálja x %d
MERCENARY_ADD_REWARD	Esély extra jutalomra: +%.1f%%
MERCENARY_CHAT_AUTO_DISPATCH_FAIL	Nincs olyan zsoldosod, aki el tudna indulni erre a bevetésre.
MERCENARY_CHAT_DISPATCH	Kiküldés ide: %s
MERCENARY_CHAT_DISPATCH_JOIN_WARNING	Egy nem alkalmas zsoldost választottál.
MERCENARY_CHAT_DISPATCH_MAX_COUNT	Túl sok zsoldost választottál ki.
MERCENARY_CHAT_DISPATCH_NOT_ENOUGHT_ACTIVE	Nincs elég állóképességed.
MERCENARY_CHAT_DISPATCH_SELECT_MERCENARY	Elõször ki kell választanod egy zsoldost.
MERCENARY_CHAT_DISPATCH_SELECT_MISSION	Nem választottál bevetést
MERCENARY_CHAT_DONT_CLEAR_QUEST	Elõbb teljesítened kell a küldetés elõfeltételt.
MERCENARY_CHAT_DRAIN_MAIN_EXP_MERCENARY	Ez a zsoldos csak más zsoldosok kiképzésére alkalmas.
MERCENARY_CHAT_DRAIN_MAX_LEVEL	Ez a zsoldos már elérte a legnagyobb szintet.
MERCENARY_CHAT_DRAIN_MERCENARY_REGISTER	Válaszd ki a zsoldost, akit képezni szeretnél, és hogy melyik másik képezze ki.
MERCENARY_CHAT_DRAIN_NEED_MAIN	Válassz egy zsoldos tanulót
MERCENARY_CHAT_DRAIN_SUB_MAX_COUNT	Legfeljebb 10 zsoldost választhatsz.
MERCENARY_CHAT_EXIST_COMPLETE_MISSION	[Zsoldos] Több befejezett bevetésed van.
MERCENARY_CHAT_GIVEUP	A(z) %s bevetés visszavonva.
MERCENARY_CHAT_MAIN_DRAIN_MERCENARY_WARNING	Az egyik kiválasztott zsoldos megsebesült.
MERCENARY_CHAT_MAX_ACTIVE_INCREASE_FOR_LEVELUP	A Bajnokszinted növekedésével növekedett az állóképességed is.
MERCENARY_CHAT_MAX_EXPAND_SLOT	Már rendelkezel a lehetõ legtöbb hellyel.
MERCENARY_CHAT_MAX_MERCENARY_EMPLOY	Nem vehetsz fel több zsoldost.
MERCENARY_CHAT_MAX_YANG	Nem tekintheted meg az eredményeket, ha több mint 2 milliárd Yangod van.
MERCENARY_CHAT_MERCENARY_ADD_DONE	%s fel lett véve.
MERCENARY_CHAT_MERCENARY_CURE_DONE	%s meg lett gyógyítva.
MERCENARY_CHAT_MERCENARY_DRAIN_DONE	%s elérte a(z) %d. szintet.
MERCENARY_CHAT_MERCENARY_FIRE_DONE	%s kirúgásra került.
MERCENARY_CHAT_MERCENARY_NO_MORE_REGIST	Nem használhatsz több zsoldost kiképzésre.
MERCENARY_CHAT_MERCENARY_SKILL_ADD_DONE	%s felvételre került a(z) %s készséggel.
MERCENARY_CHAT_MERCENARY_SLOT_EXPAND	Most már több helyed van a zsoldosaidnak.
MERCENARY_CHAT_MISSION_ACTIVE_GAIN	%d állóképességet kaptál. Összes állóképesség: %d
MERCENARY_CHAT_MISSION_COMPLETE_NOTICE	[Zsoldos] Több befejezett bevetésed van.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_COMPLETE	Ezt nem teheted meg, mert vannak befejezett bevetéseid.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_RUN	Ezt nem teheted meg, mert vannak zsoldosaid kiküldetésen.
MERCENARY_CHAT_NOT_ENOUGHT_CONQUEROR_LEVEL	Csak a Bajnokszintet elért játékosoknak elérhetõ.
MERCENARY_CHAT_NOT_ENOUGHT_EXPAND_ITEM	Szükséged van %d Bõvítési engedélyre.
MERCENARY_CHAT_NOT_ENOUGHT_INVENTORY	Megtelt a leltárad.
MERCENARY_CHAT_NOT_ENOUGHT_YANG	Hiányzik %s Yang.
MERCENARY_CHAT_OVER_MAX_ACTIVE	Nem használhatod ezt, mert már maximumon van az állóképességed.
MERCENARY_CHAT_SPECIFICITY_GAIN	Kaptál: %s %s
MERCENARY_CHAT_SUB_DRAIN_MERCENARY_WARNING	Egy kiküldött vagy sebesült zsoldost választottál ki.
MERCENARY_CHAT_TIME_CURE_START	Gyógyítás megkezdése ezzel: %s.
MERCENARY_CONQUEROR_EXP_BONUS	Bajnok EXP: %.1f%%
MERCENARY_CURE_ALREADY	Ez a zsoldos már gyógyul.
MERCENARY_CURE_DELAY_ASK	Szeretnéd lassan meggyógyítani õt: %s?
MERCENARY_CURE_DELAY_NEED_ITEM	Szükséged van egy Lassú zsoldos gyógyírre.
MERCENARY_CURE_DONE	Ez a zsoldos már meggyógyult.
MERCENARY_CURE_IMMEDIATELY_ASK	Szeretnéd azonnal meggyógyítani õt: %s?
MERCENARY_CURE_IMMEDIATELY_NEED_ITEM	Szükséged van egy Azonnali zsoldos gyógyírre.
MERCENARY_CURE_NOT_INJURY	Ez a zsoldos nincs megsebesülve.
MERCENARY_CURE_WILL_DONE	Nem gyógyíthatsz olyan zsoldost, aki már lassan gyógyul.
MERCENARY_DECREASE_INJURY_PCT	Sérülés esélye: %.1f%%
MERCENARY_DECREASE_TIME	Bevetés idõtartama: %.1f%%
MERCENARY_EXP	Zsoldos EXP:
MERCENARY_EXP_MAX	Max.
MERCENARY_FIRA_DISPATCH	Nem rúghatsz ki egy kiküldött zsoldost.
MERCENARY_FIRE_ASK	Szeretnéd kirúgni õt: %s? A kirúgott zsoldosokat nem tudod újra felvenni.
MERCENARY_INCREASE_SUCCESS_PCT	Siker esélye: +%.1f%%
MERCENARY_INJURY_DANGER_BENEFITS	Sérülés esélye: +%.1f%%
MERCENARY_LEVEL	Szint: %d
MERCENARY_LOCK_SLOT_INFO	Használj Bõvítési engedélyt a zsoldos helyeid számának növeléséhez.
MERCENARY_MISSION	Bevetés
MERCENARY_MISSION_BUTTON_GIVEUP	Visszavonás
MERCENARY_MISSION_BUTTON_RESULT	Eredmények
MERCENARY_MISSION_BUTTON_START	Bevetés indítása
MERCENARY_MISSION_MAP_DAWNMIST	Elvarázsolt erdõ
MERCENARY_MISSION_MAP_DESERT	Yongbi-sivatag
MERCENARY_MISSION_MAP_DEVILCATACOMB	Az Ördög katakombája
MERCENARY_MISSION_MAP_DEVILTOWER	Démon-torony
MERCENARY_MISSION_MAP_EASTPLAIN	Dong Gwang síkság
MERCENARY_MISSION_MAP_FLAME	Meley barlangja
MERCENARY_MISSION_MAP_MAZE	Gnoll barlang
MERCENARY_MISSION_MAP_MILLGYO	Hwang templom
MERCENARY_MISSION_MAP_NONE	Nincs
MERCENARY_MISSION_MAP_SKIPIA	A Számûzött barlangja
MERCENARY_MISSION_MAP_SNAKETEMPLE	Szerpent templom
MERCENARY_MISSION_MAP_SNAKEVALLEY	Yilad hágó
MERCENARY_MISSION_MAP_SNOW	Nemere õrtornya
MERCENARY_MISSION_MAP_SPIDER	Kuahlo Dong (pók kazamata)
MERCENARY_MISSION_MAP_THREE	Seungryong-völgy
MERCENARY_MISSION_MAP_WHITECAVE	Északszél búvóhely
MERCENARY_MISSION_NAME_PUNITIVE_DESTROY	Pusztítás
MERCENARY_MISSION_NAME_PUNITIVE_EXPLORE	Felderítés
MERCENARY_MISSION_NAME_PUNITIVE_LOW	Hódítás (könnyû)
MERCENARY_MISSION_NAME_PUNITIVE_NONE	Nincs
MERCENARY_MISSION_NAME_PUNITIVE_UPPER	Hódítás (nehéz)
MERCENARY_MISSION_REFRESH_FAIL_MERCENARY	Nem frissítheted, mivel nincs elérhetõ zsoldos.
MERCENARY_MISSION_STATE_COMPLETE_1	%s %s befejezve.
MERCENARY_MISSION_STATE_COMPLETE_2	Válaszd az "eredményeket"
MERCENARY_MISSION_STATE_END	Bevetés befejezve
MERCENARY_MISSION_STATE_GIVEUP	Nem tudsz újraindítani egy olyan bevetést, amit már lefújtál.
MERCENARY_MISSION_STATE_NONE	Elindíthatod a bevetést.
MERCENARY_MISSION_STATE_RUN	%s %s már folyamatban van.
MERCENARY_NAME_COLLECTOR	Begyûjtõ
MERCENARY_NAME_EXP	Tanító
MERCENARY_NAME_LUCKY	Szerencsés
MERCENARY_NAME_NIMBLE	Ügyes
MERCENARY_NAME_NORMAL	Átlagos
MERCENARY_NAME_STRONG	Erõs
MERCENARY_NAME_TRAINED	Tapasztalt
MERCENARY_NONE	Nincs
MERCENARY_POPUP_DISPATCH_DONT_USING_ITEM	Elindítod a bevetést anélkül, hogy csökkentenéd a szükséges állóképességet?
MERCENARY_POPUP_DISPATCH_START	Elindítod a bevetést?
MERCENARY_POPUP_DISPATCH_USING_ITEM	Csökkented a szükséges állóképességet?
MERCENARY_POPUP_DRAIN_ASK	A Zsoldos kiképzõ feladja a helyét és kilép a szolgálatodból. Folytatod?
MERCENARY_POPUP_DRAIN_ASK_EXP	A Zsoldos kiképzõ elveszíti minden tapasztalatát. Folytatod?
MERCENARY_POPUP_DRAIN_DEL_LEFT_EXP	A megmaradt tapasztalat elveszik.
MERCENARY_POPUP_DRAIN_NEED_SUB	Válassz ki egy kiképzendõ zsoldost.
MERCENARY_POPUP_DRAIN_SUB_LEVEL_WARNING	Egy magas szintû zsoldost választottál. Szeretnéd folytatni?
MERCENARY_POPUP_EMPLOY_ASK_1	Felveszel egy zsoldost?
MERCENARY_POPUP_EMPLOY_ASK_2	Szükséged lesz egy Zsoldos engedélyre és %s Yangra.
MERCENARY_POPUP_EXPAND_SLOT_QUESTION	Bõvíted a zsoldos helyeid számát? Szükséged lesz %d darabra.
MERCENARY_POPUP_MISSION_FAIL	A(z) %s bevetés nem sikerült!
MERCENARY_POPUP_MISSION_GIVEUP_1	Megszakítod a bevetést?
MERCENARY_POPUP_MISSION_GIVEUP_2	Nem indíthatsz újra egy megszakított bevetést.
MERCENARY_POPUP_MISSION_MERCENARY_INJURE	Van egy sebesült zsoldosod.
MERCENARY_POPUP_MISSION_REFRESH	Minden bevetés frissítésre kerül. Folytatod?
MERCENARY_POPUP_MISSION_RESULT	Szeretnéd látni a befejezett bevetések eredményét?
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	Megnézed az eredményeket Légióparancsnok eszencia használata nélkül?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	Használod a Légióparancsnok eszenciát, hogy extra jutalmat kapj?\nNem veszíted el ezt a tárgyat, ha a zsoldosaidnak nem sikerült teljesíteniük a bevetést.
MERCENARY_POPUP_MISSION_REWARD_EXP	Szereztél %d Bajnok EXP-t.
MERCENARY_POPUP_MISSION_REWARD_YANG	Kaptál %s Yangot.
MERCENARY_POPUP_MISSION_SUCCESS	Sikeresen teljesítetted a(z) %s bevetést!
MERCENARY_POPUP_MISSION_USE_ITEM	Mivel használtad a Légióparancsnok eszenciát, egy további jutalmat kaptál.
MERCENARY_SKILL	Készségek: %s
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	Extra Bajnokszint EXP
MERCENARY_SKILL_DECREASE_INJURY_PCT	Csökkenti a megsebesülés esélyét.
MERCENARY_SKILL_DECREASE_TIME	Csökkenti a bevetés idõtartamát.
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Növeli a siker esélyét.
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Kockázat elõnyök
MERCENARY_SKILL_UNIQUE	Egyedi
